beta,#areas,#firing_areas,#firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.3,2.0,1.0,0.0,0.21451104100946372,0.21451104100946372,0.4416403785488959,4.0,0.6214511041009464,0.6214511041009464
0.3,2.0,1.0,1.0,0.23974763406940064,0.23974763406940064,0.5615141955835962,3.0,0.6466876971608833,0.6466876971608833
0.3,2.0,1.0,3.0,0.19242902208201892,0.19242902208201892,0.555205047318612,3.0,0.6151419558359621,0.6151419558359621
0.3,2.0,1.0,5.0,0.2113564668769716,0.2113564668769716,0.6246056782334385,3.0,0.6498422712933754,0.6498422712933754
0.3,3.0,1.0,0.0,0.1829652996845426,0.028391167192429023,0.526813880126183,4.0,0.637223974763407,0.637223974763407
0.3,3.0,1.0,1.0,0.2018927444794953,0.031545741324921134,0.5615141955835962,3.0,0.6214511041009464,0.6214511041009464
0.3,3.0,1.0,3.0,0.21766561514195581,0.07886435331230283,0.5741324921135647,3.0,0.6088328075709779,0.6088328075709779
0.3,3.0,1.0,5.0,0.14826498422712936,0.025236593059936908,0.5299684542586751,3.0,0.5741324921135647,0.5741324921135647
0.3,3.0,2.0,0.0,0.16246056782334384,0.015772870662460567,0.45425867507886436,5.0,0.6214511041009464,0.6246056782334385
0.3,3.0,2.0,1.0,0.23501577287066244,0.0914826498422713,0.61198738170347,4.0,0.6782334384858044,0.6782334384858044
0.3,3.0,2.0,3.0,0.17665615141955837,0.03470031545741325,0.23659305993690852,4.0,0.5930599369085173,0.5930599369085173
0.3,3.0,2.0,5.0,0.16876971608832808,0.012618296529968454,0.31545741324921134,4.0,0.5772870662460567,0.5772870662460567
