beta,areas,firing_areas,firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.4,4.0,1.0,0.0,0.5394321766561514,0.006309148264984227,0.4605678233438486,3.0,1.0,1.0
0.4,4.0,1.0,1.0,0.4405888538380652,0.03470031545741325,1.0,2.0,1.0,1.0
0.4,4.0,1.0,3.0,0.7760252365930599,0.3280757097791798,1.0,2.0,1.0,1.0
0.4,4.0,1.0,5.0,0.7202944269190326,0.1608832807570978,1.0,2.0,1.0,1.0
0.4,4.0,2.0,0.0,0.9663512092534173,0.8990536277602523,1.0,2.0,1.0,1.0
0.4,4.0,2.0,1.0,0.9989484752891693,0.9968454258675079,1.0,2.0,1.0,1.0
0.4,4.0,2.0,3.0,0.9610935856992638,0.8832807570977917,1.0,2.0,1.0,1.0
0.4,4.0,2.0,5.0,0.44900105152471087,0.03470031545741325,1.0,2.0,1.0,1.0
0.4,4.0,3.0,0.0,0.668769716088328,0.08517350157728706,1.0,2.0,1.0,1.0
0.4,4.0,3.0,1.0,0.42902208201892744,0.01892744479495268,1.0,2.0,1.0,1.0
0.4,4.0,3.0,3.0,0.7087276550998949,0.167192429022082,1.0,2.0,1.0,1.0
0.4,4.0,3.0,5.0,0.7150368033648791,0.2302839116719243,1.0,2.0,1.0,1.0
0.3,2.0,1.0,0.0,0.21451104100946372,0.21451104100946372,0.4416403785488959,4.0,0.6214511041009464,0.6214511041009464
0.3,2.0,1.0,1.0,0.23974763406940064,0.23974763406940064,0.5615141955835962,3.0,0.6466876971608833,0.6466876971608833
0.3,2.0,1.0,3.0,0.19242902208201892,0.19242902208201892,0.555205047318612,3.0,0.6151419558359621,0.6151419558359621
0.3,2.0,1.0,5.0,0.2113564668769716,0.2113564668769716,0.6246056782334385,3.0,0.6498422712933754,0.6498422712933754
0.3,3.0,1.0,0.0,0.1829652996845426,0.028391167192429023,0.526813880126183,4.0,0.637223974763407,0.637223974763407
0.3,3.0,1.0,1.0,0.2018927444794953,0.031545741324921134,0.5615141955835962,3.0,0.6214511041009464,0.6214511041009464
0.3,3.0,1.0,3.0,0.21766561514195581,0.07886435331230283,0.5741324921135647,3.0,0.6088328075709779,0.6088328075709779
0.3,3.0,1.0,5.0,0.14826498422712936,0.025236593059936908,0.5299684542586751,3.0,0.5741324921135647,0.5741324921135647
0.3,3.0,2.0,0.0,0.16246056782334384,0.015772870662460567,0.45425867507886436,5.0,0.6214511041009464,0.6246056782334385
0.3,3.0,2.0,1.0,0.23501577287066244,0.0914826498422713,0.61198738170347,4.0,0.6782334384858044,0.6782334384858044
0.3,3.0,2.0,3.0,0.17665615141955837,0.03470031545741325,0.23659305993690852,4.0,0.5930599369085173,0.5930599369085173
0.3,3.0,2.0,5.0,0.16876971608832808,0.012618296529968454,0.31545741324921134,4.0,0.5772870662460567,0.5772870662460567
0.3,4.0,1.0,0.0,0.29863301787592006,0.01892744479495268,0.9936908517350158,3.0,1.0,1.0
0.3,4.0,1.0,1.0,0.17875920084121977,0.00946372239747634,0.5205047318611987,3.0,0.5993690851735016,0.5993690851735016
0.3,4.0,1.0,3.0,0.2323869610935857,0.0694006309148265,0.7255520504731862,3.0,0.750788643533123,0.750788643533123
0.3,4.0,1.0,5.0,0.18506834910620398,0.006309148264984227,0.583596214511041,4.0,0.6182965299684543,0.6182965299684543
0.3,4.0,2.0,0.0,0.19873817034700317,0.0031545741324921135,0.3470031545741325,4.0,0.6088328075709779,0.6088328075709779
0.3,4.0,2.0,1.0,0.20189274447949526,0.0031545741324921135,0.7760252365930599,3.0,0.7981072555205048,0.7981072555205048
0.3,4.0,2.0,3.0,0.18191377497371186,0.0,0.5141955835962145,4.0,0.6182965299684543,0.6214511041009464
0.3,4.0,2.0,5.0,0.17770767613038907,0.00946372239747634,0.3943217665615142,7.0,0.6182965299684543,0.6340694006309149
0.3,4.0,3.0,0.0,0.19032597266035753,0.006309148264984227,0.3753943217665615,5.0,0.6782334384858044,0.6813880126182965
0.3,4.0,3.0,1.0,0.3312302839116719,0.0473186119873817,1.0,2.0,1.0,1.0
0.3,4.0,3.0,3.0,0.29547844374342797,0.025236593059936908,1.0,2.0,1.0,1.0
0.3,4.0,3.0,5.0,0.1640378548895899,0.00946372239747634,0.23974763406940064,4.0,0.583596214511041,0.583596214511041
0.3,5.0,1.0,0.0,0.18217665615141954,0.0,0.5615141955835962,4.0,0.7003154574132492,0.7003154574132492
0.3,5.0,1.0,1.0,0.1829652996845426,0.0,0.6151419558359621,3.0,0.7129337539432177,0.7129337539432177
0.3,5.0,1.0,3.0,0.16482649842271294,0.0,0.637223974763407,3.0,0.6845425867507886,0.6845425867507886
0.3,5.0,1.0,5.0,0.19242902208201895,0.0,0.7570977917981072,3.0,0.8485804416403786,0.8485804416403786
0.3,5.0,2.0,0.0,0.24921135646687698,0.006309148264984227,1.0,2.0,1.0,1.0
0.3,5.0,2.0,1.0,0.2870662460567823,0.015772870662460567,0.9873817034700315,3.0,0.9968454258675079,0.9968454258675079
0.3,5.0,2.0,3.0,0.19716088328075712,0.0031545741324921135,0.7854889589905363,3.0,0.832807570977918,0.832807570977918
0.3,5.0,2.0,5.0,0.18848580441640378,0.0,0.6845425867507886,3.0,0.7350157728706624,0.7350157728706624
0.3,5.0,3.0,0.0,0.19794952681388012,0.0,0.6750788643533123,4.0,0.832807570977918,0.832807570977918
0.3,5.0,3.0,1.0,0.22949526813880125,0.0031545741324921135,0.9652996845425867,3.0,0.9842271293375394,0.9842271293375394
0.3,5.0,3.0,3.0,0.23738170347003157,0.0,0.9589905362776026,3.0,0.9936908517350158,0.9936908517350158
0.3,5.0,3.0,5.0,0.1585173501577287,0.0,0.30914826498422715,3.0,0.6593059936908517,0.6593059936908517
0.3,5.0,4.0,0.0,0.25,0.0,1.0,2.0,1.0,1.0
0.3,5.0,4.0,1.0,0.22318611987381703,0.0,0.917981072555205,3.0,0.9589905362776026,0.9589905362776026
0.3,5.0,4.0,3.0,0.19006309148264985,0.0031545741324921135,0.45110410094637227,3.0,0.6561514195583596,0.6561514195583596
0.3,5.0,4.0,5.0,0.1837539432176656,0.0031545741324921135,0.7129337539432177,3.0,0.7791798107255521,0.7791798107255521
0.3,6.0,1.0,0.0,0.22271293375394322,0.0,0.9463722397476341,3.0,1.0,1.0
0.3,6.0,1.0,1.0,0.17665615141955834,0.0,0.5678233438485805,4.0,0.6498422712933754,0.6498422712933754
0.3,6.0,1.0,3.0,0.2555205047318612,0.00946372239747634,0.9495268138801262,3.0,1.0,1.0
0.3,6.0,1.0,5.0,0.25867507886435337,0.00946372239747634,0.9810725552050473,3.0,1.0,1.0
0.3,6.0,2.0,0.0,0.22649842271293377,0.0,1.0,2.0,1.0,1.0
0.3,6.0,2.0,1.0,0.22776025236593062,0.0,0.9905362776025236,3.0,1.0,1.0
0.3,6.0,2.0,3.0,0.1779179810725552,0.0,0.6088328075709779,4.0,0.7602523659305994,0.7634069400630915
0.3,6.0,2.0,5.0,0.1520504731861199,0.0,0.4384858044164038,3.0,0.61198738170347,0.61198738170347
