beta,#areas,#firing_areas,#firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.3,4.0,1.0,5.0,0.21240799158780233,0.00946372239747634,0.7539432176656151,4.0,0.7760252365930599,0.7760252365930599
0.3,4.0,2.0,5.0,0.21240799158780233,0.00946372239747634,0.7318611987381703,4.0,0.7697160883280757,0.7697160883280757
0.3,4.0,3.0,5.0,0.21240799158780233,0.00946372239747634,0.7192429022082019,3.0,0.7697160883280757,0.7697160883280757
0.2,4.0,1.0,0.0,0.17875920084121977,0.0,0.6182965299684543,3.0,0.6593059936908517,0.6593059936908517
0.2,4.0,2.0,0.0,0.17875920084121977,0.0,0.6340694006309149,6.0,0.6813880126182965,0.6813880126182965
0.2,4.0,3.0,0.0,0.17875920084121977,0.0,0.2870662460567823,9.0,0.6656151419558359,0.6719242902208202
0.2,4.0,1.0,1.0,0.18191377497371186,0.00946372239747634,0.555205047318612,3.0,0.6088328075709779,0.6088328075709779
0.2,4.0,2.0,1.0,0.18191377497371186,0.00946372239747634,0.25236593059936907,9.0,0.5899053627760252,0.5930599369085173
0.2,4.0,3.0,1.0,0.18191377497371186,0.00946372239747634,0.2807570977917981,8.0,0.5930599369085173,0.5930599369085173
0.2,4.0,1.0,3.0,0.17455310199789695,0.00946372239747634,0.5772870662460567,3.0,0.61198738170347,0.61198738170347
0.2,4.0,2.0,3.0,0.17455310199789695,0.00946372239747634,0.3943217665615142,4.0,0.61198738170347,0.6151419558359621
0.2,4.0,3.0,3.0,0.17455310199789695,0.00946372239747634,0.24605678233438485,5.0,0.61198738170347,0.61198738170347
0.2,4.0,1.0,5.0,0.17770767613038907,0.0031545741324921135,0.583596214511041,5.0,0.6624605678233438,0.6624605678233438
0.2,4.0,2.0,5.0,0.17770767613038907,0.0031545741324921135,0.61198738170347,3.0,0.6466876971608833,0.6466876971608833
0.2,4.0,3.0,5.0,0.17770767613038907,0.0031545741324921135,0.2807570977917981,4.0,0.6466876971608833,0.6466876971608833
0.1,4.0,1.0,0.0,0.2071503680336488,0.0031545741324921135,0.5709779179810726,7.0,0.6876971608832808,0.6908517350157729
0.1,4.0,2.0,0.0,0.2071503680336488,0.0031545741324921135,0.5678233438485805,5.0,0.6971608832807571,0.6971608832807571
0.1,4.0,3.0,0.0,0.2071503680336488,0.0031545741324921135,0.3659305993690852,11.0,0.6845425867507886,0.6876971608832808
0.1,4.0,1.0,1.0,0.20189274447949526,0.00946372239747634,0.580441640378549,6.0,0.7066246056782335,0.7097791798107256
0.1,4.0,2.0,1.0,0.20189274447949526,0.00946372239747634,0.580441640378549,6.0,0.6971608832807571,0.7034700315457413
